filename,Rim_incl_sin_mean,rim.out.prot.length,rim.inn.prot.length,trapez.perC,block.perC,form.factor,aspect.ratio,roundness,Rim_HorizCut.Out_WT,Rim_mean.WT,Rim_median.WT,Rim_sd.WT,Rim_min.WT,Rim_max.WT,RimWT_margin,Rim_Diam_extra_half,Rim_extent.1,Rim_curl,Rim_elongation.min,Rim_elongation.max,Rim_elongation.avg,Rim_radius.ratio,Rim_eccentricity,Rim_incl_sin_min,Rim_incl_sin_max,Rim_bottom_width_scaled,Rim_lip_width_scaled,Rim_HorizCut.Out_Width,Rim_HorizCut.Out_Cont,rim.out.diff.length,rim.inn.diff.length,sherd_height,sherd_rim.diameter,sherd_rim.diameter.check,is.full.profile,Rim_HorizCut.Inn_WT,Rim_HorizCut.Inn_Width,Rim_HorizCut.Inn_Cont,Rim_incl_min_sign,Rim_incl_max_sign,Rim_incl_mean_sign,sherd_listlines.inn.length,sherd_listlines.inn,sherd_listlines.out.length,sherd_listlines.out,Rim_mass.centre.x,Rim_mass.centre.y,Rim_majoraxis,Rim_WT.mean.norm,Rim_WT.med.norm,Rim_WT.var.norm,Rim_WT.skew.norm,Rim_WT.kurt.norm,Rim_WT.BotMed.norm,Below.Rim_incl_sin_min,Below.Rim_incl_sin_max,Below.Rim_incl_sin_mean,Below.Rim_incl_min_sign,Below.Rim_incl_max_sign,Below.Rim_incl_mean_sign,rim.out.prot.length.2,rim.inn.prot.length.2,rim.out.max.diff.length,rim.inn.max.diff.length,pixel_scale,pixel_scale_alt,pixel_scale_check,Rim_periph.O.length.exclB,Rim_periph.O.length.inclB,TV,Type,Rim_height_manual,filewd,set,Site,Year,ContextCompare,inERlist
SADR020738.jpg,0.971428571,1.264911064,3.685212334,112.58,84.44,0.921114966,1.862629537,0.579043854,5,20.68571429,23,4.561807102,9,25,8,12,0.82918552,2.411764706,3.777777778,1.36,1.643646409,2.777777778,0.72223272,0.944444444,0.971428571,68,27,1,no discontinuities,-11,5,101,960,known,FALSE,7,1,no discontinuities,1,-1,1,0,,1,101,16.07912688,16.61255116,16.61255116,0.722426471,0.875,0.081484654,-0.933836387,-0.372085501,11.42857143,0.944444444,0.944444444,0.944444444,-1,-1,-1,1.264911064,0.599221518,11,6,180,178,1.333333333,82,107,1B150,1B15,34,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,SS1,2006,SA-2006-SS1-00151,TRUE
SADR020749.jpg,0.952380952,0,3.053919591,104.87,88.91,0.977588364,1.737741769,0.664239171,1,20.47619048,22,3.059722988,13,24,39,16,0.8875,2.9,1.538461538,0.833333333,0.976744186,1.846153846,0.471003951,0.952380952,0.952380952,108,66,1,no discontinuities,-6,5,208,706,known,FALSE,13,1,no discontinuities,1,-1,1,0,,1,208,13.84976526,10.7629108,10.7629108,0.73,0.85,0.091684211,-0.953337076,-0.339426036,16.47058824,0.952380952,1,0.952380952,1,0,1,0,0,6,5,180,178,1.333333333,58,82,1B150,1B15,20,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00175,TRUE
SADR020865.jpg,0.9,0.992277877,1.05999788,98.77,88.89,1.079922475,2.174589249,0.555667192,9,9,9.5,2,5,11,13,8,0.814814815,3.111111111,1.8,0.818181818,1,2.2,0.680632728,0.9,0.818181818,118,68,1,no discontinuities,-1,5,144,418,known,FALSE,3,1,no discontinuities,1,-1,-1,1,135,1,144,6.636363636,5.522727273,5.522727273,0.62962963,0.666666667,0.109567901,-0.494491008,-1.08868023,9,0.9,0.9,0.9,-1,-1,-1,0.248069469,1.05999788,1,5,180,178,1.333333333,28,39,1B150,1B15,9,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,RB2,1999,SA-1999-RB2-00146,TRUE
SADR020881.jpg,0.95,2.760788152,0.447213595,107.42,91.08,0.973899618,2.043762337,0.537495517,11,20.9,22,2.989455152,13,24,11,16,0.869473684,2.947368421,1.461538462,0.791666667,0.909090909,1.846153846,0.646711197,0.95,0.863636364,119,69,1,no discontinuities,-2,9,262,594,unknown,FALSE,2,1,no discontinuities,1,-1,-1,0,,1,262,13.07506053,10.3535109,10.3535109,0.703349282,0.818181818,0.073316901,-1.204262556,0.449542216,17.11111111,0.95,0.95,0.95,-1,-1,-1,0.110431526,0.447213595,3,9,180,178,1.333333333,56,80,1B150,1B15,19,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,RB2,1999,SA-1999-RB2-00169,TRUE
SADR020923.jpg,0.933333333,1.529407171,1,108.23,77.64,0.905607834,2.034062712,0.497578809,4,18.24137931,19,4.610974273,8,24,22,10,0.761428571,2.428571429,3.5,1.166666667,1.534971645,3,0.760653449,0.848484848,1,81,30,1,no discontinuities,-16,0,174,874,known,FALSE,9,1,no discontinuities,1,0,1,0,,6,7;11;62;63;68;174,16.70356473,13.63414634,13.63414634,0.627232143,0.65625,0.081158027,-0.440898034,-0.889901958,13.71428571,1,0.965517241,0.965517241,0,-1,-1,1.529407171,0,16,1,180,178,1.333333333,68,92,1B150,1B15,28,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1994,SA-1994-L-00098,TRUE
SADR020945.jpg,0.928571429,2.182820625,0.675724629,106.92,85.54,0.883350315,3.232381759,0.381125805,10,20.85714286,21.5,4.537995879,12,26,11,15,0.794871795,3.307692308,1.083333333,0.5,0.623287671,2.166666667,0.854067128,0.928571429,0.722222222,185,95,1,no discontinuities,-3,11,162,706,known,FALSE,2,1,no discontinuities,1,-1,-1,0,,1,162,13.03225806,7.272401434,7.272401434,0.604395604,0.642857143,0.101713762,-0.505129654,-1.18012923,20.22222222,0.928571429,0.866666667,0.866666667,-1,-1,-1,0.242535625,0.675724629,3,11,180,178,1.333333333,43,69,1B150,1B15,13,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020952.jpg,0.954545455,0.894427191,1.897629444,108.06,78.04,0.951772449,2.075562102,0.528478006,3,14.40909091,15,3.3474808,7,19,21,9,0.761904762,2.523809524,3,1.105263158,1.457413249,2.714285714,0.699195262,0.875,0.954545455,83,37,1,no discontinuities,-10,1,84,360,known,FALSE,17,1,no discontinuities,1,-1,1,0,,1,84,13.3625,10.74375,10.74375,0.603174603,0.666666667,0.077017196,-0.515359175,-0.802464798,12,0.954545455,0.954545455,0.954545455,1,1,1,0.894427191,1.098627573,10,2,180,178,1.333333333,53,71,1B150,1B15,21,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020953.jpg,0.96,2.186396091,3.161980997,109.91,97.08,0.960274256,1.882697842,0.567125161,7,28.96,29,2.130727575,22,31,15,25,0.936197917,3.125,1.090909091,0.774193548,0.828729282,1.409090909,0.720042277,0.923076923,0.96,112,88,1,no discontinuities,-9,-2,163,472,known,FALSE,7,1,no discontinuities,1,1,1,0,,1,163,19.13351878,13.28650904,13.28650904,0.773148148,0.777777778,0.058485418,-1.767450413,2.790746063,29.57142857,0.96,0.923076923,0.96,-1,-1,-1,3.036661238,3.595129079,9,5,180,178,1.333333333,75,104,1B150,1B15,24,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020954.jpg,0.944444444,1.58999682,0.998052578,111.76,85.47,0.986183663,1.867465976,0.550060294,4,14.72222222,15.5,3.177226974,7,18,4,9,0.817337461,2.647058824,2.428571429,0.944444444,1.154716981,2.571428571,0.641825897,0.85,0.944444444,101,45,1,no discontinuities,-10,1,145,1164,known,FALSE,17,1,no discontinuities,1,-1,1,0,,1,145,12.40151515,9.075757576,9.075757576,0.684491979,0.727272727,0.082766164,-0.761013388,-0.420259088,11,0.944444444,0.944444444,0.944444444,-1,-1,-1,1.58999682,0.187134858,10,1,180,178,1.333333333,45,63,1B150,1B15,17,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020963.jpg,0.9375,1.969596493,0.961523948,107.45,83.03,0.944259418,2.991409269,0.549986911,6,9.5625,9,1.209338662,7,12,19,9,0.815384615,2.733333333,2.142857143,1.25,1.568627451,1.714285714,0.82356701,0.882352941,0.9375,64,52,1,no discontinuities,-6,-4,227,591,known,FALSE,3,1,no discontinuities,1,1,1,2,220;221,1,227,8.704402516,9.050314465,9.050314465,0.52,0.4,0.061714286,0.100187296,-0.437750343,20,0.9375,0.9375,0.9375,1,-1,-1,2.232209359,1.648326767,6,5,180,178,1.333333333,41,50,1B150,1B15,15,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020966.jpg,0.947368421,1.488416815,3.321237791,123.26,85.75,0.936226024,2.302100333,0.465450895,4,20.18918919,22,4.293650595,7,24,6,10,0.844444444,2.333333333,5.142857143,1.5,1.78313253,3.428571429,0.836576896,0.857142857,0.972972973,61,21,1,no discontinuities,-20,-4,269,822,known,FALSE,7,1,no discontinuities,1,1,1,0,,4,233;234;247;269,18.43289474,17.70789474,17.70789474,0.77124183,0.882352941,0.064810238,-1.48193117,1.326818815,9.066666667,0.972972973,0.972972973,0.972972973,1,-1,-1,2.604729426,1.192239207,20,7,180,178,1.333333333,84,107,1B150,1B15,36,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020971.jpg,0.952380952,2.074232153,1.164171,108.54,85.58,0.972839284,2.054677544,0.590780118,7,22.19047619,24,4.534523653,12,27,13,15,0.819642857,2.85,1.666666667,0.740740741,0.901287554,2.25,0.60540899,0.909090909,0.909090909,124,61,1,no discontinuities,-7,8,149,948,known,FALSE,4,1,no discontinuities,1,-1,-1,0,,1,149,15.18518519,10.43572985,10.43572985,0.663333333,0.733333333,0.09051462,-0.66422893,-0.751378793,17.72727273,0.952380952,0.952380952,0.952380952,-1,-1,-1,1.037116076,1.164171,7,8,180,178,1.333333333,57,84,1B150,1B15,20,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020974.jpg,0.947368421,1.903749026,2.576692504,112.12,88.1,1.038026827,1.869017808,0.637446775,6,18.52631579,20,3.485978598,10,22,25,13,0.842995169,2.833333333,1.8,0.818181818,0.971590909,2.2,0.551656297,0.9,0.947368421,110,57,1,no discontinuities,-7,4,119,816,known,FALSE,4,1,no discontinuities,1,-1,1,0,,1,119,13.24068768,9.673352436,9.673352436,0.699074074,0.791666667,0.086714779,-0.991776406,-0.251035064,13.89473684,1,0.947368421,0.947368421,0,-1,-1,1.903749026,2.118613837,7,5,180,178,1.333333333,51,72,1B150,1B15,18,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00198,TRUE
SADR020976.jpg,0.95,3.781176708,0,108.94,83.65,0.989906272,2.505397523,0.459737233,5,23.25,25.5,5.37905294,11,29,5,15,0.798245614,2.894736842,1.727272727,0.655172414,0.817204301,2.636363636,0.762750369,0.95,0.76,138,60,1,no discontinuities,-3,15,183,632,unknown,FALSE,1,1,no discontinuities,1,-1,-1,0,,1,183,15.16923077,9.879120879,9.879120879,0.66374269,0.777777778,0.088296874,-0.81852365,-0.590410367,15.42857143,0.904761905,0.863636364,0.863636364,-1,-1,-1,1.315191898,0.51214752,5,15,180,178,1.333333333,55,84,1B150,1B15,19,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00187,TRUE
SADR020994.jpg,0.961538462,3.663487935,0.702246883,113.65,92,0.982555727,1.644128874,0.616486744,2,19.57692308,21,2.858993906,11,22,2,14,0.892173913,2.64,2.272727273,1.136363636,1.277013752,2,0.582924348,0.961538462,0.925925926,83,44,1,no discontinuities,-1,9,192,575,known,FALSE,3,1,no discontinuities,1,-1,-1,0,,1,192,13.32163743,13.18323587,13.18323587,0.774545455,0.909090909,0.069641873,-1.540393217,1.428999071,13.2,0.961538462,0.961538462,0.961538462,-1,-1,-1,2.331310504,1.872658355,4,9,180,178,1.333333333,66,87,1B150,1B15,25,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-1_Eliane_29072020,EarlyRoman,L,1993,SA-1993-L-00187,TRUE
SADR021073.jpg,0.875,0.294085849,0.569209979,104.49,96.24,0.928515162,2.392876087,0.431199378,7,18.06666667,19,1.830950833,14,20,7,17,0.904761905,3.357142857,1,0.7,0.774907749,1.428571429,0.797765182,0.933333333,0.823529412,136,97,1,no discontinuities,4,9,154,418,known,TRUE,2,1,no discontinuities,-1,-1,-1,2,1;28,3,1;14;154,12.08270677,8.154135338,8.154135338,0.666666667,0.75,0.098290598,-0.77264988,-0.683837429,20,0.875,0.823529412,0.875,-1,-1,-1,1.396907782,1.201665511,4,9,180,178,1.333333333,47,66,1B150,1B15,14,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-2_Eliane_26082020,EarlyRoman,L,1993,SA-1993-L-00447,TRUE
SADR021088.jpg,0.952380952,3.24522832,0,108.24,83.64,1.018823578,1.963552205,0.536069757,3,18.52380952,20,4.007730625,9,23,3,12,0.804166667,2.7,2.222222222,0.869565217,1.079691517,2.555555556,0.646939412,0.952380952,0.833333333,103,47,1,no discontinuities,-2,12,176,377,known,TRUE,1,1,no discontinuities,1,-1,-1,2,1;47,8,1;29;30;52;75;76;169;176,12.67357513,10.41450777,10.41450777,0.664285714,0.785714286,0.080612245,-0.846064023,-0.445322464,12.72727273,0.952380952,0.952380952,0.952380952,-1,-1,-1,1.308559806,0.756490071,4,12,180,178,1.333333333,54,77,1B150,1B15,20,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-2_Eliane_26082020,EarlyRoman,L,1994,SA-1994-L-00110,TRUE
SADR021090.jpg,0.944444444,3.194334608,0.52999894,109.37,77.71,0.997390295,2.12716562,0.507392759,12,14.94444444,16,4.079680239,6,20,12,9,0.74789916,2.647058824,2.833333333,0.85,1.137546468,3.333333333,0.602864559,0.944444444,0.85,109,40,1,no discontinuities,-3,10,165,376,known,TRUE,2,1,no discontinuities,1,-1,-1,2,1;64,7,1;19;28;29;157;158;165,10.23220974,8.808988764,8.808988764,0.621848739,0.714285714,0.084671369,-0.63540352,-0.808235993,9.8,0.944444444,0.894736842,0.894736842,-1,-1,-1,1.167160722,0.52999894,4,10,180,178,1.333333333,45,64,1B150,1B15,17,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-2_Eliane_26082020,EarlyRoman,L,1994,SA-1994-L-00110,TRUE
SADR021098.jpg,0.944444444,2.42535625,0,104.41,83.53,1.03787753,1.53857489,0.706419704,11,12.83333333,14,2.74933147,6,16,14,9,0.852941176,2.647058824,2.833333333,1.0625,1.324675325,2.666666667,0.474674886,0.944444444,0.894736842,83,40,1,no discontinuities,-4,6,177,408,known,TRUE,1,1,no discontinuities,1,-1,-1,1,1,3,1;21;177,9.172413793,9.146551724,9.146551724,0.738562092,0.888888889,0.090958606,-1.042547062,-0.087931755,7.875,0.944444444,0.944444444,0.944444444,-1,-1,-1,0,0,4,6,180,178,1.333333333,45,61,1B150,1B15,17,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-2_Eliane_26082020,EarlyRoman,L,1994,SA-1994-L-00055,TRUE
SADR021137.jpg,0.904761905,0.998460353,0.613940614,108.68,83.77,0.936169851,2.289042088,0.445500335,14,20.1,21.5,4.115439479,11,25,14,14,0.803643725,2.842105263,1.727272727,0.76,0.945273632,2.272727273,0.736854623,0.95,0.791666667,124,60,1,no discontinuities,1,14,206,665,known,TRUE,2,1,no discontinuities,-1,-1,-1,2,1;50,4,1;16;17;206,12.61460957,9.989924433,9.989924433,0.635338346,0.714285714,0.086675021,-0.65951594,-0.831249005,16.8,0.95,0.95,0.95,-1,-1,-1,0.942990334,0.613940614,2,14,180,178,1.333333333,54,78,1B150,1B15,19,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-2_Eliane_26082020,EarlyRoman,L,1994,SA-1994-L-00055,TRUE
SADR021195.jpg,0.958333333,0.789352217,1.96773982,105.69,85.87,0.940303684,1.874534792,0.629449908,4,14.16666667,14.5,2.664854457,7,17,29,10,0.835748792,2.52173913,3.285714286,1.352941176,1.623529412,2.428571429,0.711126445,0.958333333,0.958333333,70,33,1,no discontinuities,-6,4,290,628,known,TRUE,12,1,no discontinuities,1,-1,1,2,1;62,3,1;45;290,11.10404624,11.93641618,11.93641618,0.704347826,0.7,0.070434783,-0.965746132,0.184325145,11.42857143,0.958333333,0.958333333,1,1,-1,0,0.789352217,0.536656315,6,4,180,178,1.333333333,58,75,1B150,1B15,23,C:/Users/u0112360/Documents/____/Sagalassos/__PhD/Drawings/Eliane_Phase1and2/Phase-2_Eliane_26082020,EarlyRoman,L,1994,SA-1994-L-00197,FALSE
